IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
248f55188085b4c6ac407fae3520b357,1985,Domestic For Profit,North East,NY,261800.752826403
0ab7be53cfffef5a4307d6a11ef50f5e,1985,Research Institutes,Mid West,OH,1034485.0335849182
d4546794c92695f3bf5b608cdad39a1c,1985,Research Institutes,Mid West,OH,1714591.9170199048
8895315fa744f717a6c145d22389d576,1985,Research Institutes,West,WA,1057867.1537801935
a35c8d1e24144c47021125d572c25ae1,1985,Domestic For Profit,South,TN,4687701.1761153005
0948ea38d45d7d61be583490a7518708,1985,Other Higher Education,South,OK,152088.05302075014
c63cf508148d9bef78294e5ba6cc5f78,1985,Other Higher Education,South,TX,1396266.4683742467
392e491d826ae279fc737c88a37d7289,1985,Other Domestic NonProfit,North East,MA,724757.2537461333
4c3649ece80da296eb63e0d5aa73f4d5,1985,Medical Schools,North East,NJ,20678015.932396412
61ee3c1b11b31cb8744831428e19175c,1985,Other Higher Education,North East,NJ,9513985.652578343
51eeb0caf8f6d4192de3e5fec177d37e,1985,Medical Schools,North East,NJ,21219466.8377538
adf26392b28723d8aedb0316609dd670,1985,Other Higher Education,North East,NJ,2984468.547201246
80e5ccbde36d6f830aa9e774697a4928,1985,Other Higher Education,South,SC,376720.71383441245
b18f9c22f603b6e9ddc4bf649f7a929b,1985,Other Domestic NonProfit,South,NC,139600.73693576618
6858513aa3d59f163f6b210795c207fe,1985,Other Higher Education,North East,VT,186703.0702815957
e40a41a0a84a3c47f21206447b7850a8,1985,Other Higher Education,Mid West,MI,4270864.328302656
fad38b1bbdc86666bb795a221c8c27f4,1985,Hospitals,North East,MA,32887501.876243982
b6927ee02308fa3ce97fd8abc54e8c02,1985,Hospitals,North East,NY,2142879.6853173357
51f57b617ac67a98e06d27fd02417ac2,1985,Hospitals,Mid West,IL,2460247.7305487967
5c900daa2900ae6b39e32779c62d82d6,1985,Other Domestic NonProfit,South,NC,483946.69364079565
bc809fcdca731d46a4f9d675681a3e94,1985,Other Domestic NonProfit,South,MD,258002.73820691367
c4d5f4495407f643c81ecef78e903814,1985,Other Higher Education,South,VA,633886.1194124529
0ca7fe471b3a56f66d556fcce3e9baa9,1985,Medical Schools,West,HI,2565546.2647322756
ae73ef83555f927a8a08724d6215ea54,1985,Other Higher Education,West,HI,10779941.036351046
ce71e83b37599218c9f54746e655c634,1985,Other Higher Education,South,MD,9932819.459383694
ae2caf17ef34bd0ed7380948e92e556a,1985,Other Higher Education,South,MD,6078665.590948587
4e35932f91163f3af02afbd0b98d6344,1985,Medical Schools,South,MD,37757128.58354703
ba72768b63c18e3af5888cae5d18154e,1985,Other Higher Education,South,MD,3478611.7402750347
ef8d0dbbaf127e99c985f5c1305ee061,1985,Other Higher Education,West,NV,224398.83968442777
3dabbdae982fcd79dfb35083587cf342,1985,Medical Schools,West,NV,4469906.205757209
a0780d5483196f05eb19a2a22fcb471b,1985,Other Higher Education,West,NV,1241141.8995889558
fcd3a3a114aebcb155afdc030282c163,1985,Other Higher Education,North East,NH,3225645.6379410685
76d5b5e0ae107678484daf9bcee8de58,1985,Foreign,Foreign,,117147.58202798573
bd70dc79924241d0680191b475d392a4,1985,Research Institutes,South,MD,464880.78628463636
